hi excel pleas kindli work with hard work minist not those who just talk without action still 4moretodomor,1,0.2,3,2
cute pleas let patronis our friend and sist busi pleas good morn and regard pat,1,0.2,3,2
hi excel pleas work the dawhenya afienya road for us it veri bad state appeal,1,0.2,3,2
pleas footbal lover also miss the stadium watch their favorit team and player pleas allow the 25 support,-1,0.2,2,3
forget them soo wise fall for thi trap good work nana bediatuo,1,0.2,3,2
how abt agyapa miss excavatorsh think you are do well concern free sh but corrupt,-1,0.2,2,3
few decent trunk road amp rail knit the countri togeth plu good enough and cheap telecomsbroad,1,0.2,3,2
ghanaian dear kaai just dont like good thing see good and say bad and see bad and say good,1,0.2,3,2
massa restth devil know better than the devil angel clothingth word corrupt should,-1,0.2,2,3
nana well vote for you becaus there other correct parti but pleas cool down the corrupt,1,0.2,3,2
that correct proverb 1434 righteous exalt nation but sin reproach ani peopl,1,0.2,3,2
barimau win de3 free bet odd start with good economi 4more for odd,1,0.2,3,2
thak you veri much for the good work you are do for the peopl ghana Im die hard ndc support,1,0.2,3,2
love you death more pleas make ghana the best africaand pleas also invest the mo,-1,0.2,2,3
hello everyon pleas join free odd channel for free for odd everyday,-1,0.2,2,3
rawl want releas book titl the triumph evil expos ndc evil and boom die,-1,0.2,2,3
hit them well well with the corrupt thug for they are more than mother corrupt serpentfrom,-1,0.2,2,3
